Rk,Gtm,Date,,Opp_team,Rslt,Tm_PTS,Opp_PTS,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,opp_FG,opp_FGA,opp_FG%,opp_3P,opp_3PA,opp_3P%,opp_2P,opp_2PA,opp_2P%,opp_eFG%,opp_FT,opp_FTA,opp_FT%,opp_ORB,opp_DRB,opp_TRB,opp_AST,opp_STL,opp_BLK,opp_TOV,opp_PF
1,1,2024-10-23,,IND,L,109,115,,38,88,.432,9,33,.273,29,55,.527,.483,24,28,.857,12,26,38,22,6,2,14,21,42,83,.506,9,31,.290,33,52,.635,.560,22,25,.880,7,32,39,32,10,8,15,23
2,2,2024-10-25,@,CLE,L,101,113,,38,81,.469,13,32,.406,25,49,.510,.549,12,17,.706,8,34,42,25,3,5,22,22,42,82,.512,13,34,.382,29,48,.604,.591,16,23,.696,5,34,39,28,13,4,13,15
3,3,2024-10-26,,BOS,L,118,124,,43,88,.489,14,39,.359,29,49,.592,.568,18,22,.818,9,35,44,27,4,7,15,22,38,90,.422,22,48,.458,16,42,.381,.544,26,30,.867,13,24,37,19,10,6,10,16
4,4,2024-10-28,@,MIA,L,98,106,,35,91,.385,14,38,.368,21,53,.396,.462,14,17,.824,19,35,54,14,6,6,17,19,38,88,.432,15,47,.319,23,41,.561,.517,15,20,.750,10,34,44,24,14,3,12,14
5,5,2024-10-30,@,PHI,W,105,95,,36,78,.462,15,36,.417,21,42,.500,.558,18,22,.818,12,37,49,23,4,5,17,25,33,79,.418,8,28,.286,25,51,.490,.468,21,28,.750,8,29,37,17,7,4,9,21
6,6,2024-11-01,,NYK,L,98,128,,41,81,.506,11,34,.324,30,47,.638,.574,5,7,.714,6,32,38,23,6,9,22,12,52,101,.515,18,38,.474,34,63,.540,.604,6,10,.600,12,33,45,31,16,3,10,14
7,7,2024-11-03,@,BRK,W,106,92,,37,77,.481,11,36,.306,26,41,.634,.552,21,26,.808,9,38,47,25,4,6,21,25,32,71,.451,9,31,.290,23,40,.575,.514,19,31,.613,4,23,27,23,9,3,14,24
8,8,2024-11-04,,LAL,W,115,103,,45,96,.469,8,34,.235,37,62,.597,.510,17,22,.773,17,38,55,22,6,5,12,25,37,85,.435,9,25,.360,28,60,.467,.488,20,27,.741,7,30,37,28,8,1,13,16
9,9,2024-11-06,@,CHO,L,107,108,,46,94,.489,10,32,.313,36,62,.581,.543,5,9,.556,6,40,46,34,5,4,11,20,39,90,.433,14,44,.318,25,46,.543,.511,16,16,1.000,8,39,47,22,5,4,12,16
10,10,2024-11-08,,ATL,W,122,121,,44,86,.512,13,33,.394,31,53,.585,.587,21,31,.677,11,34,45,27,7,8,21,18,44,97,.454,15,36,.417,29,61,.475,.531,18,23,.783,15,29,44,30,12,7,18,21
11,11,2024-11-10,,HOU,L,99,101,,36,84,.429,11,34,.324,25,50,.500,.494,16,23,.696,11,35,46,21,6,6,18,21,38,93,.409,7,34,.206,31,59,.525,.446,18,24,.750,17,36,53,19,10,5,12,21
12,12,2024-11-12,,MIA,W,123,121,OT,43,92,.467,13,36,.361,30,56,.536,.538,24,28,.857,15,41,56,32,4,4,19,19,47,101,.465,17,45,.378,30,56,.536,.550,10,13,.769,12,31,43,25,14,3,12,22
13,13,2024-11-13,@,MIL,L,120,127,OT,46,100,.460,18,38,.474,28,62,.452,.550,10,13,.769,11,34,45,29,6,7,15,21,45,95,.474,15,35,.429,30,60,.500,.553,22,25,.880,9,38,47,26,10,9,12,12
14,14,2024-11-15,@,TOR,W,99,95,,39,95,.411,8,38,.211,31,57,.544,.453,13,20,.650,14,42,56,24,8,8,14,16,35,97,.361,8,31,.258,27,66,.409,.402,17,22,.773,17,36,53,21,7,6,15,13
15,15,2024-11-17,@,WAS,W,124,104,,46,97,.474,17,38,.447,29,59,.492,.562,15,19,.789,13,38,51,27,11,4,9,19,39,83,.470,12,27,.444,27,56,.482,.542,14,20,.700,5,34,39,21,6,3,17,16
16,16,2024-11-18,,CHI,L,112,122,,42,98,.429,15,44,.341,27,54,.500,.505,13,19,.684,16,32,48,27,3,3,9,19,44,91,.484,23,46,.500,21,45,.467,.610,11,14,.786,10,36,46,28,3,5,11,16
17,17,2024-11-21,@,CHO,L,121,123,OT,42,99,.424,17,48,.354,25,51,.490,.510,20,25,.800,21,35,56,30,8,3,19,23,44,93,.473,20,44,.455,24,49,.490,.581,15,21,.714,11,32,43,23,12,5,16,22
18,18,2024-11-23,@,ORL,L,100,111,,35,75,.467,13,33,.394,22,42,.524,.553,17,22,.773,10,24,34,16,7,8,17,21,40,87,.460,12,39,.308,28,48,.583,.529,19,22,.864,17,27,44,25,13,9,15,20
19,19,2024-11-25,,TOR,W,102,100,,34,76,.447,12,37,.324,22,39,.564,.526,22,31,.710,6,32,38,27,4,7,14,19,41,104,.394,10,35,.286,31,69,.449,.442,8,10,.800,23,27,50,26,7,5,10,27
20,20,2024-11-27,@,MEM,L,111,131,,40,85,.471,13,38,.342,27,47,.574,.547,18,25,.720,9,33,42,24,6,4,20,17,51,93,.548,17,46,.370,34,47,.723,.640,12,16,.750,10,32,42,31,13,4,17,21
21,21,2024-11-29,@,IND,W,130,106,,48,83,.578,18,38,.474,30,45,.667,.687,16,20,.800,7,37,44,35,9,5,18,16,41,85,.482,12,33,.364,29,52,.558,.553,12,13,.923,7,25,32,23,9,4,16,18
22,22,2024-11-30,,PHI,L,96,111,,35,91,.385,11,40,.275,24,51,.471,.445,15,18,.833,10,32,42,22,6,5,17,19,42,85,.494,11,31,.355,31,54,.574,.559,16,22,.727,12,38,50,19,9,8,17,21
23,23,2024-12-03,,MIL,L,107,128,,40,87,.460,11,33,.333,29,54,.537,.523,16,22,.727,13,28,41,22,11,7,18,21,45,80,.563,23,41,.561,22,39,.564,.706,15,21,.714,4,32,36,26,10,6,18,17
24,24,2024-12-04,@,BOS,L,120,130,,43,84,.512,20,39,.513,23,45,.511,.631,14,18,.778,8,26,34,27,10,5,19,21,45,94,.479,21,53,.396,24,41,.585,.590,19,25,.760,14,29,43,30,11,7,16,14
25,25,2024-12-07,@,NYK,W,120,111,,43,83,.518,18,36,.500,25,47,.532,.627,16,19,.842,9,34,43,28,7,0,19,20,42,79,.532,11,34,.324,31,45,.689,.601,16,27,.593,4,27,31,27,11,5,15,12
26,26,2024-12-12,@,BOS,L,99,123,,42,98,.429,7,37,.189,35,61,.574,.464,8,10,.800,9,34,43,27,8,4,8,12,46,90,.511,20,48,.417,26,42,.619,.622,11,13,.846,8,43,51,34,6,4,14,9
27,27,2024-12-16,,MIA,W,125,124,OT,44,90,.489,20,40,.500,24,50,.480,.600,17,23,.739,7,45,52,32,8,4,22,24,45,99,.455,12,43,.279,33,56,.589,.515,22,24,.917,9,35,44,30,16,2,13,19
28,28,2024-12-19,,UTA,L,119,126,,46,105,.438,13,47,.277,33,58,.569,.500,14,18,.778,13,26,39,26,10,8,10,25,39,83,.470,20,40,.500,19,43,.442,.590,28,31,.903,15,47,62,23,5,8,27,19
29,29,2024-12-21,@,PHO,W,133,125,,49,89,.551,19,39,.487,30,50,.600,.657,16,22,.727,10,25,35,31,13,4,13,19,45,78,.577,14,29,.483,31,49,.633,.667,21,23,.913,6,29,35,30,9,1,19,21
30,30,2024-12-23,@,LAL,W,117,114,,47,92,.511,11,30,.367,36,62,.581,.571,12,12,1.000,10,27,37,24,12,5,12,20,40,74,.541,14,30,.467,26,44,.591,.635,20,25,.800,6,32,38,28,8,3,20,10
31,31,2024-12-26,@,SAC,W,114,113,,38,91,.418,17,44,.386,21,47,.447,.511,21,25,.840,10,34,44,25,6,4,10,22,39,82,.476,14,39,.359,25,43,.581,.561,21,26,.808,8,36,44,20,3,6,14,20
32,32,2024-12-28,@,DEN,L,121,134,,46,95,.484,12,39,.308,34,56,.607,.547,17,23,.739,15,26,41,29,8,1,12,25,46,82,.561,13,27,.481,33,55,.600,.640,29,36,.806,8,32,40,29,9,6,14,18
33,33,2025-01-01,,ORL,W,105,96,,41,79,.519,12,29,.414,29,50,.580,.595,11,17,.647,9,40,49,25,7,3,24,18,37,91,.407,8,35,.229,29,56,.518,.451,14,20,.700,9,24,33,18,18,5,13,21
34,34,2025-01-03,,CHO,W,98,94,,39,93,.419,12,37,.324,27,56,.482,.484,8,13,.615,14,37,51,21,13,7,15,27,33,80,.413,9,30,.300,24,50,.480,.469,19,30,.633,9,36,45,25,8,6,18,10
35,35,2025-01-04,,MIN,W,119,105,,45,93,.484,13,38,.342,32,55,.582,.554,16,20,.800,13,34,47,26,12,2,14,22,34,80,.425,16,40,.400,18,40,.450,.525,21,26,.808,7,26,33,20,7,4,17,21
36,36,2025-01-06,,POR,W,118,115,,42,94,.447,15,43,.349,27,51,.529,.527,19,22,.864,17,28,45,23,9,4,15,15,48,90,.533,16,35,.457,32,55,.582,.622,3,5,.600,7,31,38,32,6,4,16,18
37,37,2025-01-08,@,BRK,W,113,98,,45,86,.523,15,37,.405,30,49,.612,.610,8,12,.667,7,35,42,30,9,9,15,20,33,86,.384,13,39,.333,20,47,.426,.459,19,21,.905,9,29,38,24,10,4,15,15
38,38,2025-01-09,,GSW,L,104,107,,39,86,.453,14,39,.359,25,47,.532,.535,12,16,.750,7,33,40,25,7,7,15,19,41,89,.461,15,46,.326,26,43,.605,.545,10,16,.625,15,34,49,32,9,7,15,18
39,39,2025-01-11,,TOR,W,123,114,,44,84,.524,19,33,.576,25,51,.490,.637,16,21,.762,7,39,46,35,8,5,17,22,40,92,.435,16,38,.421,24,54,.444,.522,18,27,.667,15,30,45,27,12,3,12,21
40,40,2025-01-13,@,NYK,W,124,119,,46,92,.500,15,34,.441,31,58,.534,.582,17,18,.944,11,28,39,20,8,2,13,21,40,80,.500,15,37,.405,25,43,.581,.594,24,29,.828,10,32,42,26,5,2,18,21
41,41,2025-01-16,,IND,L,100,111,,36,91,.396,9,36,.250,27,55,.491,.445,19,22,.864,14,41,55,22,3,7,19,20,41,89,.461,13,30,.433,28,59,.475,.534,16,22,.727,3,37,40,28,13,8,10,17
42,42,2025-01-18,,PHO,L,121,125,,44,94,.468,9,33,.273,35,61,.574,.516,24,36,.667,15,28,43,22,5,3,9,27,43,86,.500,7,25,.280,36,61,.590,.541,32,40,.800,13,37,50,25,6,3,10,24
