Rk,Gtm,Date,,Opp_team,Rslt,Tm_PTS,Opp_PTS,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,opp_FG,opp_FGA,opp_FG%,opp_3P,opp_3PA,opp_3P%,opp_2P,opp_2PA,opp_2P%,opp_eFG%,opp_FT,opp_FTA,opp_FT%,opp_ORB,opp_DRB,opp_TRB,opp_AST,opp_STL,opp_BLK,opp_TOV,opp_PF
1,1,2024-10-23,,ORL,L,97,116,,32,82,.390,11,34,.324,21,48,.438,.457,22,29,.759,9,32,41,24,5,8,11,19,41,96,.427,18,49,.367,23,47,.489,.521,16,22,.727,18,39,57,28,8,8,14,21
2,2,2024-10-26,@,CHO,W,114,106,,40,86,.465,14,34,.412,26,52,.500,.547,20,28,.714,13,30,43,33,8,6,14,19,39,89,.438,13,41,.317,26,48,.542,.511,15,21,.714,15,31,46,20,6,5,20,24
3,3,2024-10-28,,DET,W,106,98,,38,88,.432,15,47,.319,23,41,.561,.517,15,20,.750,10,34,44,24,14,3,12,14,35,91,.385,14,38,.368,21,53,.396,.462,14,17,.824,19,35,54,14,6,6,17,19
4,4,2024-10-30,,NYK,L,107,116,,37,81,.457,17,40,.425,20,41,.488,.562,16,24,.667,7,32,39,27,6,3,10,17,40,82,.488,18,40,.450,22,42,.524,.598,18,20,.900,7,35,42,30,8,4,11,16
5,5,2024-11-02,@,WAS,W,118,98,,43,102,.422,15,37,.405,28,65,.431,.495,17,24,.708,21,44,65,19,6,3,14,18,38,91,.418,7,35,.200,31,56,.554,.456,15,21,.714,8,36,44,23,12,10,12,22
6,6,2024-11-04,,SAC,L,110,111,,37,85,.435,15,36,.417,22,49,.449,.524,21,30,.700,8,28,36,24,9,6,11,15,44,86,.512,10,27,.370,34,59,.576,.570,13,15,.867,11,28,39,23,5,4,14,28
7,7,2024-11-06,@,PHO,L,112,115,,40,92,.435,13,34,.382,27,58,.466,.505,19,20,.950,13,30,43,27,12,3,10,16,42,84,.500,18,43,.419,24,41,.585,.607,13,18,.722,10,36,46,29,5,6,16,14
8,8,2024-11-08,@,DEN,L,122,135,,46,94,.489,20,43,.465,26,51,.510,.596,10,13,.769,9,24,33,33,11,1,14,19,50,81,.617,18,35,.514,32,46,.696,.728,17,19,.895,6,33,39,37,5,5,18,13
9,9,2024-11-10,@,MIN,W,95,94,,34,77,.442,11,31,.355,23,46,.500,.513,16,22,.727,6,37,43,18,14,9,23,20,35,88,.398,13,45,.289,22,43,.512,.472,11,13,.846,16,31,47,22,13,5,20,20
10,10,2024-11-12,@,DET,L,121,123,OT,47,101,.465,17,45,.378,30,56,.536,.550,10,13,.769,12,31,43,25,14,3,12,22,43,92,.467,13,36,.361,30,56,.536,.538,24,28,.857,15,41,56,32,4,4,19,19
11,11,2024-11-15,@,IND,W,124,111,,45,87,.517,15,42,.357,30,45,.667,.603,19,23,.826,4,32,36,27,16,1,10,12,44,86,.512,14,35,.400,30,51,.588,.593,9,11,.818,8,31,39,28,8,4,20,15
12,12,2024-11-17,@,IND,L,110,119,,36,90,.400,19,43,.442,17,47,.362,.506,19,20,.950,15,23,38,21,4,1,11,13,44,85,.518,13,29,.448,31,56,.554,.594,18,20,.900,10,35,45,30,6,6,11,16
13,13,2024-11-18,,PHI,W,106,89,,36,87,.414,13,44,.295,23,43,.535,.489,21,23,.913,9,44,53,26,10,2,15,13,35,84,.417,10,41,.244,25,43,.581,.476,9,12,.750,2,40,42,25,10,3,15,17
14,14,2024-11-24,,DAL,W,123,118,OT,46,107,.430,14,41,.341,32,66,.485,.495,17,27,.630,12,45,57,27,6,6,9,22,44,105,.419,10,40,.250,34,65,.523,.467,20,25,.800,15,44,59,29,6,9,14,24
15,15,2024-11-26,,MIL,L,103,106,,35,77,.455,10,29,.345,25,48,.521,.519,23,30,.767,9,29,38,26,6,2,8,14,36,77,.468,20,42,.476,16,35,.457,.597,14,17,.824,9,32,41,23,5,7,13,19
16,16,2024-11-27,@,CHO,W,98,94,,33,73,.452,14,37,.378,19,36,.528,.548,18,22,.818,4,40,44,21,6,5,22,9,37,98,.378,17,51,.333,20,47,.426,.464,3,8,.375,16,27,43,22,10,5,13,19
17,17,2024-11-29,,TOR,W,121,111,,43,94,.457,21,54,.389,22,40,.550,.569,14,17,.824,9,24,33,32,10,0,10,19,43,80,.538,11,29,.379,32,51,.627,.606,14,17,.824,10,36,46,34,4,3,19,17
18,18,2024-12-01,@,TOR,L,116,119,,39,88,.443,15,40,.375,24,48,.500,.528,23,28,.821,12,33,45,25,11,4,14,17,47,88,.534,10,29,.345,37,59,.627,.591,15,20,.750,10,37,47,30,4,5,16,23
19,19,2024-12-02,@,BOS,L,89,108,,31,87,.356,8,35,.229,23,52,.442,.402,19,23,.826,11,33,44,24,6,1,10,11,39,89,.438,19,55,.345,20,34,.588,.545,11,13,.846,14,40,54,25,5,9,17,20
20,20,2024-12-04,,LAL,W,134,93,,52,90,.578,24,47,.511,28,43,.651,.711,6,9,.667,13,39,52,42,11,5,16,16,37,88,.420,5,22,.227,32,66,.485,.449,14,19,.737,12,24,36,29,9,4,13,8
21,21,2024-12-07,,PHO,W,121,111,,45,86,.523,13,32,.406,32,54,.593,.599,18,23,.783,11,30,41,30,9,4,12,20,36,82,.439,16,41,.390,20,41,.488,.537,23,25,.920,13,28,41,29,8,3,14,20
22,22,2024-12-08,,CLE,W,122,113,,41,86,.477,16,37,.432,25,49,.510,.570,24,26,.923,10,37,47,27,4,4,12,15,41,86,.477,14,33,.424,27,53,.509,.558,17,18,.944,5,31,36,25,5,1,9,18
23,23,2024-12-12,,TOR,W,114,104,,40,83,.482,13,32,.406,27,51,.529,.560,21,32,.656,11,41,52,21,4,3,17,11,41,92,.446,11,32,.344,30,60,.500,.505,11,15,.733,9,33,42,29,8,5,12,24
24,24,2024-12-16,@,DET,L,124,125,OT,45,99,.455,12,43,.279,33,56,.589,.515,22,24,.917,9,35,44,30,16,2,13,19,44,90,.489,20,40,.500,24,50,.480,.600,17,23,.739,7,45,52,32,8,4,22,24
25,25,2024-12-20,,OKC,L,97,104,,36,83,.434,12,40,.300,24,43,.558,.506,13,20,.650,7,34,41,20,9,3,19,16,39,86,.453,14,34,.412,25,52,.481,.535,12,17,.706,12,36,48,24,8,5,14,17
26,26,2024-12-21,@,ORL,L,114,121,,36,75,.480,9,32,.281,27,43,.628,.540,33,42,.786,7,31,38,16,7,2,15,25,43,87,.494,11,37,.297,32,50,.640,.557,24,27,.889,10,31,41,24,5,9,13,23
27,27,2024-12-23,,BRK,W,110,95,,36,73,.493,17,41,.415,19,32,.594,.610,21,24,.875,5,39,44,27,6,3,16,17,33,84,.393,13,34,.382,20,50,.400,.470,16,20,.800,11,31,42,23,9,2,15,18
28,28,2024-12-26,@,ORL,W,89,88,,31,76,.408,15,30,.500,16,46,.348,.507,12,14,.857,7,28,35,21,14,6,21,20,34,77,.442,5,29,.172,29,48,.604,.474,15,18,.833,9,33,42,14,12,6,23,15
29,29,2024-12-28,@,ATL,L,110,120,,40,90,.444,13,41,.317,27,49,.551,.517,17,18,.944,8,34,42,23,9,4,9,19,44,86,.512,15,37,.405,29,49,.592,.599,17,22,.773,9,38,47,34,7,2,13,16
30,30,2024-12-29,@,HOU,W,104,100,,37,84,.440,10,33,.303,27,51,.529,.500,20,28,.714,15,37,52,21,6,3,15,14,38,97,.392,13,40,.325,25,57,.439,.459,11,13,.846,19,33,52,24,5,4,13,21
31,31,2025-01-01,,NOP,W,119,108,,44,83,.530,14,34,.412,30,49,.612,.614,17,21,.810,5,33,38,34,6,1,13,16,40,80,.500,9,34,.265,31,46,.674,.556,19,22,.864,5,26,31,25,4,7,11,15
32,32,2025-01-02,,IND,L,115,128,,43,75,.573,11,26,.423,32,49,.653,.647,18,21,.857,5,34,39,34,6,6,16,13,51,96,.531,17,40,.425,34,56,.607,.620,9,16,.563,13,26,39,35,9,4,8,16
33,33,2025-01-04,,UTA,L,100,136,,35,80,.438,9,35,.257,26,45,.578,.494,21,30,.700,5,27,32,25,9,7,15,14,52,100,.520,19,46,.413,33,54,.611,.615,13,16,.813,16,41,57,31,11,4,14,21
34,34,2025-01-06,@,SAC,L,118,123,2OT,43,102,.422,11,42,.262,32,60,.533,.475,21,27,.778,12,41,53,25,14,6,14,19,45,108,.417,13,38,.342,32,70,.457,.477,20,26,.769,18,42,60,30,7,8,15,20
35,35,2025-01-07,@,GSW,W,114,98,,43,91,.473,16,40,.400,27,51,.529,.560,12,17,.706,9,39,48,32,6,3,10,9,40,98,.408,14,50,.280,26,48,.542,.480,4,5,.800,11,41,52,28,9,6,12,15
36,36,2025-01-09,@,UTA,W,97,92,,36,91,.396,14,50,.280,22,41,.537,.473,11,15,.733,13,36,49,26,10,7,14,12,33,83,.398,11,36,.306,22,47,.468,.464,15,17,.882,11,38,49,20,9,7,17,15
37,37,2025-01-11,@,POR,W,119,98,,44,92,.478,19,44,.432,25,48,.521,.582,12,16,.750,8,35,43,31,13,5,11,16,36,95,.379,13,45,.289,23,50,.460,.447,13,19,.684,16,35,51,24,6,6,17,15
38,38,2025-01-13,@,LAC,L,98,109,,33,85,.388,17,52,.327,16,33,.485,.488,15,18,.833,9,40,49,22,7,3,16,9,45,93,.484,13,36,.361,32,57,.561,.554,6,10,.600,7,41,48,28,11,6,12,15
39,39,2025-01-15,@,LAL,L,108,117,,39,73,.534,16,36,.444,23,37,.622,.644,14,15,.933,3,34,37,25,3,6,20,13,47,90,.522,13,34,.382,34,56,.607,.594,10,14,.714,6,28,34,33,12,4,7,12
